accuracy,precision_macro,recall_macro,f1_macro,data_regime,model
1.0,1.0,1.0,1.0,0.1,TFIDF_LR
1.0,1.0,1.0,1.0,1.0,TFIDF_LR
1.0,1.0,1.0,1.0,0.1,NGram_SVM
1.0,1.0,1.0,1.0,1.0,NGram_SVM
0.7,0.35,0.5,0.4117647058823529,0.1,GloVe_LR
0.52,0.26,0.5,0.34210526315789475,1.0,GloVe_LR
1.0,1.0,1.0,1.0,0.1,CNNText_GloVe
1.0,1.0,1.0,1.0,1.0,CNNText_GloVe
0.7,0.35,0.5,0.4117647058823529,0.1,BiLSTM_GloVe
0.52,0.26,0.5,0.34210526315789475,1.0,BiLSTM_GloVe
1.0,1.0,1.0,1.0,0.1,DistilBERT
1.0,1.0,1.0,1.0,1.0,DistilBERT
